index,linkPoster,name,role,time,content,content_img,react_list,comment
160,No link,Người tham gia ẩn danh,Thành viên,6 tháng 11 lúc 15:08,Có ai như em hong ạ tiền mỗi ngày trong túi cứ rời em mà đi,No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '1', 'Wow': 0, 'Buồn': '1', 'Phẫn nộ': 0}","[{'name': 'Phan T. Trà My', 'content': 'Quỳnh Như em đăng à'}, {'name': 'Quỳnh Như', 'content': 'Phan T. Trà My c rủ rê quá mà'}]"
161,No link,Người tham gia ẩn danh,Thành viên,6 tháng 11 lúc 15:08,"Ý là thích bạn cùng phòng rùi, thì giờ làm sao ạ …mình là nam ( hỏi thật
)",No picture,"{'Thích': '11', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '40', 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Nguyễn Thị Minh Xinh', 'content': 'Ủa? Là m ở ghép với nữ hay nam'}, {'name': 'Hưng QB Trương', 'content': 'thì trữ sẵn dầu ăn đi bạn'}, {'name': 'Nt Hue', 'content': 'Ê thấy kì , kì này lòi cặp boylove'}, {'name': 'Kiệt Bùi', 'content': 'Ủa khoan'}, {'name': 'Phương Ah', 'content': 'Duy Bảo nè he nè he:₫)'}, {'name': 'Duy Bảo', 'content': 'Phương Ah ????'}, {'name': 'Võ Tá Đại', 'content': 'Nguyễn Lê Bảo Duy m à duy'}, {'name': 'Nguyễn Lê Bảo Duy', 'content': 'Nguyễn Lê Bảo Duy Võ Tá Đại nín cái họng lại chưa :)))'}, {'name': 'Võ Tá Đại', 'content': 'Nguyễn Lê Bảo Duy thôi t bt ảnh là ai r'}, {'name': 'Phương Huyền', 'content': 'Hoài Nam ê nha ê nha'}]"
162,No link,Người tham gia ẩn danh,Thành viên,6 tháng 11 lúc 15:08,Lỡ say một chị tên Diễm Quỳnh thì sao đây các bro ơi,No picture,"{'Thích': '5', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '2', 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Nguyễn Ngọc Bìnhh', 'content': 'Nguyễn Thị Diễm Quỳnh ôi chị tôi'}, {'name': 'Nguyễn Thị Diễm Quỳnh', 'content': 'Nguyễn Ngọc Bìnhh ngại quá à'}, {'name': 'Người tham gia ẩn danh 107', 'content': 'tới đi bạn'}, {'name': 'Xuân Mai', 'content': 'Quỳnh Quỳnh cj Quỳnh hả cj'}, {'name': 'Nguyễn Trường Thọ', 'content': 'Ngô Diễm Quỳnh cht thôi chứ'}, {'name': 'Ngô Diễm Quỳnh', 'content': 'Nguyễn Trường Thọ xui quá tui DUT'}, {'name': 'Nguyễn Thị Minh Xinh', 'content': 'Thôi:))) đổi qua Minh Xinh đi'}]"
163,No link,Người tham gia ẩn danh,Thành viên,6 tháng 11 lúc 08:41,"Anh sinh viên bách khoa mõm 5 năm ra trường còn mình 2 năm nữa ra, nhà mình thì khổ ảnh hay chở ra biển uống mía ko biết có tương lai k",No picture,"{'Thích': '8', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '12', 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Người tham gia ẩn danh 831', 'content': 'Mấy thằng học bk không phải cha,...'}, {'name': 'Người tham gia ẩn danh 137', 'content': 'có e'}, {'name': 'Nguyễn Thị Minh Xinh', 'content': 'Chắc có hoặc ko đó b:) chỉ cần có chí tiến thủ,con trai có chí tiến thủ hay ko nhìn cái là bt à,thấy có chí tiến thủ thì yêu tiếp,ko thì cho cút đc r'}]"
164,No link,Người tham gia ẩn danh,Thành viên,5 tháng 11 lúc 17:29,"Em mất gốc đang muốn tìm chỗ học tiếng anh dạy lại từ đầu, chỗ mô uy tín xíu với học phí sv. A/c có học chỗ nào okela không ạ, gthiu em với...)))",No picture,"{'Thích': '2', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Nguyễn Thị Minh Xinh', 'content': 'T tự giới thiệu t nè:)))'}, {'name': 'Thúy Anh Ngữ Iris', 'content': 'Em tham khảo IRIS ENGLISH thử nha, Khóa bên trung tâm chuyên về dạy cấy gốc từ số 0 đi lên nè, cũng có hơn 11 năm kinh nghiệm trong việc dạy tiếng anh mất gốc rồi nên em yên tâm nghe. Đang có chương trình giảm 50% học phí nhân dịp iris tròn 11 tuổi đó, nên học phí cũng ok lắm nè. Em quan tâm ib chị tặng 1 buổi đo năng lực miễn phí để tư vấn lộ trình và học phí phù hợp hì'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả trung tâm mình có gần trường không ạ'}, {'name': 'Thúy Anh Ngữ Iris', 'content': 'Người tham gia ẩn danh chị thấy cơ sở gần nhất ở Lô 13 Nguyễn Sinh Sắc á em. Em ib chị hỗ trợ nha'}, {'name': 'Thuỳ Dung Mai', 'content': 'Hi em, em tham khảo anh ngữ cô Mai nha. Có lớp kèm giao tiếp, toeic, ielts từ mất gốc đến chuyên sâu, học phí hỗ trợ em đóng phí theo tháng nè, cam kết chất lượng đầu ra. Ngoài ra em còn được tham gia các hoạt động ngoại khóa với người nước ngoài giúp tăng phản xạ và hỗ trợ nâng cao kĩ năng speaking nha. Qt ib c gửi lộ trình và phí nhen.'}]"
165,No link,Người tham gia ẩn danh,Thành viên,5 tháng 11 lúc 17:19,"Chiều ni có bạn nữ mang hoodie đen quần trắng đứng ở cổng đập muỗi dễ thương xỉu
. Có ai biết info cho mình xin với nha",No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Tỉnh Đoan', 'content': 'Bạn í có ngiu rồu bạn ơi'}, {'name': 'Khánh Quyên', 'content': 'Tỉnh Đoan m quen à'}, {'name': 'Tỉnh Đoan', 'content': 'Khánh Quyên t đoán zậy'}, {'name': 'Khánh Quyên', 'content': 'Tỉnh Đoan bạn m à:))'}, {'name': 'Tỉnh Đoan', 'content': 'Khánh Quyên hok lun t tự đồn đó'}, {'name': 'Khánh Quyên', 'content': 'Tỉnh Đoan tửn bạn m cho t xin i4'}, {'name': 'Tỉnh Đoan', 'content': 'Khánh Quyên để t cố làm thân rồi cho m in4'}]"
166,No link,Người tham gia ẩn danh,Thành viên,5 tháng 11 lúc 16:23,"Bạn Việt Dũng 23SLD2 chảnh zậy, ib làm quen mà hông thèm trl",No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment
167,No link,Người tham gia ẩn danh,Thành viên,5 tháng 11 lúc 15:25,"Chợt nhận ra ""nhan sắc của cgai"" quyết định nhiều đến vc có btrai hay kh. Người ta cứ bảo nhan sắc không quan trọng nhưng thực ra tớ thấy nhan sắc chiếm đến 90% kết quả roi cậu ạ. Giống như việc c đi date mà bạn nam thấy c xinh, ăn nói hợp một tí là ngta đã muốn gặp cậu lần 2 rồi. Chứ còn nhan sắc không ưa nhìn thì tớ thề là chẳng còn lần nào nữa và ngay cả tin nhắn cũng nhạt dần đi. Ok là c nch kh hợp lắm nhưng nếu c xinh thì ngta sẽ rất muốn gặp c thêm nhiều lần nữa để tìm hiểu..",No picture,"{'Thích': '17', 'Yêu thích': '4', 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': '6', 'Phẫn nộ': 0}","[{'name': 'Ngân Ngân Em', 'content': 'Không có bạn trai thì có bạn gái cũng được rứa'}, {'name': 'Công Sơn', 'content': 'Ngân Ngân Em bởi con người 20 ch mối tình vắt vai hay nói v đó'}, {'name': 'Nguyễn Hương', 'content': '""Nhan sắc là thứ quyết định đầu tiên, nhưng văn hay thì đâu chỉ có mở bài"" (đọc ở đâu đó nhưng thấy hay nên muốn share cho bạn, nếu mình k đẹp, mình có thể chọn cách làm mình tốt lên)'}]"
168,No link,Người tham gia ẩn danh,Thành viên,5 tháng 11 lúc 15:15,"E chỉ thích ở 1 mình, từ chối rất nhiều lần nhưng bạn  năn nỉ, e thấy dai quá nên cho ở vì bạn bảo bạn xin ở tạm thôi. Tháng 11 này anh chị trả phòng quá trời mà ko thấy bạn có đi tìm, em sốt ruột quá nên đi tìm giúp bạn. E tìm đc 1 phòng rất oke, nhắn cho bạn thì bạn bảo ""M định chuyển ra hả""
 ko biết ai là đứa ở tạm luôn á mn
 đúng là ở hiền gặp phiền
 giờ mùng 4 rồi, các phòng oke cx hết, chắc em phải ở với nó đến Tết hoặc là nó đuổi em đi
 tính em nhát lắm nên nếu ai làm gì em thì em cx ko dám nói mà chọn cách rời đi",No picture,"{'Thích': '2', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment
169,No link,Người tham gia ẩn danh,Thành viên,5 tháng 11 lúc 15:15,Crush ko addfr thì phải làm sao ạ,No picture,"{'Thích': '2', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '1', 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Trịnh Oanh', 'content': 'đổi crush'}]"
170,No link,Người tham gia ẩn danh,Thành viên,5 tháng 11 lúc 15:15,trường mình có mấy anh cứ tẻn tẻn kiểu gì ấy nhỉ?,No picture,"{'Thích': '2', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '4', 'Wow': 0, 'Buồn': '1', 'Phẫn nộ': 0}","[{'name': 'An Lê', 'content': 'Minh Vũ anh sao để mấy em nói z anh'}, {'name': 'Minh Vũ', 'content': 'An Lê anh tẻn thiệt nhưng mà có mấy khi đi học đâu :))'}]"
171,No link,Người tham gia ẩn danh,Thành viên,5 tháng 11 lúc 15:15,"Lên đại học rồi….có vài bạn vẫn cái kiểu siêng ăn nhát làm nhỉ, chung nhóm, giảng viên nói là làm bài thuyết trình mà chỉ có một mình bạn mình làm hết, không tìm nội dung, trưởng nhóm thì chẳng phân công, thi thố kiểm tra tới nơi rồi mà cứ cái kiểu nhát rồi không biết làm này làm nọ.",No picture,"{'Thích': '2', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment
172,No link,Người tham gia ẩn danh,Thành viên,5 tháng 11 lúc 13:21,"Cho em hỏi mn có gặp tình trạng này k ạ?
-  Chuyện là trong nhóm lm bài nhóm của em có 1 bạn rất chi là đẹp trai , NHƯNG CHỈ ĐƯỢC CÁI MÃ ĐẸP TRAI MÀ THÔI ( nói thẳng ra là phế) , mỗi lần lm bài nhóm thì chối việc, lm bài cho có  rất sơ xài và đặc biệt là lm Silde bài nhóm gắn hình rất là trẩu ...
Tưởng lm đc việc lắm ai mà ngờ, chỉ đc cái mã mà thôi.Lm nhóm mà cứ ngỡ là mik đang lm việc cá nhân k . Gặp bn chỉ đc cái mã đẹp trai này còn gặp nhóm trưởng hay bị tự ái nửa , k bt điểm của em sẽ ra sao đây. Đúng chất nhóm đã tàn còn thêm những con người này ( kết hợp thành tàn phế luôn mn ạ )
K bt có cách nào xử lí k ạ chứ em ngán ngẫm quá mn ơi. Ai có cách trị cho em xin với ạ ",No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '1', 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment
173,No link,Người tham gia ẩn danh,Thành viên,5 tháng 11 lúc 13:02,Cho em hỏi đề gki sinh lí trẻ của cô Thùy Trâm là kiểu trắc nghiệm hay tự luận vậy ạ,No picture,"{'Thích': '3', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '1', 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Thảo Ngô', 'content': 'Tn'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả Thảo Ngô khó hay dễ v chị'}]"
174,No link,Người tham gia ẩn danh,Thành viên,5 tháng 11 lúc 12:01,"AC nào trong cfs khoa GDTH cho em xin chút thời gian để hỏi này với được k ạ
Em cảm ơn rất nhiều ạ ",No picture,"{'Thích': '3', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Người tham gia ẩn danh', 'content': 'Tác giả hú hú @nêu bật'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả'}, {'name': 'Trần Quang Sinh', 'content': '...'}]"
175,No link,Người tham gia ẩn danh,Thành viên,5 tháng 11 lúc 09:35,"Bạn nào quên chứng chỉ tin học tại phòng A6-302
Liên hệ cô phòng nước: 0907718057","{0: 'https://scontent.fdad3-5.fna.fbcdn.net/v/t39.30808-6/465790303_1072532034111039_5453855089110114143_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=107&ccb=1-7&_nc_sid=aa7b47&_nc_eui2=AeF7KIbG0R8gDjyriOuVnHcnksrpqr7i1vySyumqvuLW_PFLpJs2xZszw__18q_K9GSR_vdds76UhrdgSrzFlJwf&_nc_ohc=GETaF56aT_0Q7kNvgGg1gEV&_nc_zt=23&_nc_ht=scontent.fdad3-5.fna&_nc_gid=ABejv2i6TIGCOP36P-P08Iu&oh=00_AYD-usB6QolrbDLUnsvrELUQRN20IpnZAbg95-wO7ugGpg&oe=673FC04D', 1: 'https://scontent.fdad3-5.fna.fbcdn.net/v/t39.30808-6/465913225_1072532054111037_2575064872834854430_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=106&ccb=1-7&_nc_sid=aa7b47&_nc_eui2=AeFe--58eCsm4iDqXgBlwwoATONsRobCrXFM42xGhsKtcXaUDWP65cpoxq35Vpfcdw90q9qo4tuQkTBLeEec8eym&_nc_ohc=xtPMlz5XjjsQ7kNvgEtKaF-&_nc_zt=23&_nc_ht=scontent.fdad3-5.fna&_nc_gid=ABejv2i6TIGCOP36P-P08Iu&oh=00_AYCu3cM11F0FpRY1Q2FUqE2HOPhgVR6vY8XED1znMatzmw&oe=673FB0E2'}","{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment
176,No link,Người tham gia ẩn danh,Thành viên,5 tháng 11 lúc 07:28,"Sáng nay mình làm rơi thẻ xe, ai nhặt được cho mình xin lại với ạ.",No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '1', 'Wow': 0, 'Buồn': '1', 'Phẫn nộ': 0}",No comment
177,No link,Người tham gia ẩn danh,Thành viên,5 tháng 11 lúc 01:39,Anh chị cho em hỏi là với các học phần này thì thầy cô nào dạy sẽ dễ thở cho bọn em vậy ạ,"{0: 'https://scontent.fdad3-1.fna.fbcdn.net/v/t39.30808-6/465429252_1022140313256096_353012688514597271_n.jpg?stp=dst-jpg_p526x296&_nc_cat=108&ccb=1-7&_nc_sid=aa7b47&_nc_eui2=AeFFcm_z2DgcSPObXmH8fEKFX37D_iWdcipffsP-JZ1yKk4N720KqB6OQKMcRKfsupPposb60gCNxnSodVhfoRdx&_nc_ohc=ORwr-7CvetEQ7kNvgHTk0kD&_nc_zt=23&_nc_ht=scontent.fdad3-1.fna&_nc_gid=AF-Z9OqnBaOuGauPycAhoh8&oh=00_AYCwRK9xcRa8rZk2sD5kd91DxXIy334F0Ra2XI3lWGiiGw&oe=673FB3DC', 1: 'https://static.xx.fbcdn.net/images/emoji.php/v9/tec/1/16/1f972.png'}","{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '1', 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Na Ptthuy', 'content': 'Hồ Thị Diệu Hương m hỏi chớ gì'}, {'name': 'Hồ Thị Diệu Hương', 'content': 'Na Ptthuy hong nhaa má'}, {'name': 'Dương Thanh Nhã', 'content': 'Ib đi review cho nè'}]"
178,No link,Người tham gia ẩn danh,Thành viên,4 tháng 11 lúc 23:25,ac cho em tham khảo bài luận viết như nào được không ạa,No picture,"{'Thích': '1', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment
179,No link,Người tham gia ẩn danh,Thành viên,4 tháng 11 lúc 23:11,"Trời đúng là mt đại hc, gặp toàn những thứ gì k , lm bài nhóm thì vô trách nhiệm, nói tới là nhảy đỏng đỏng lên. Nhóm trưởng gì như qq họ, không có miếng trách nhiệm nào nói tới thì chối việc không lm , khôn hết phần người khác . Tới lúc có điểm cái dành hết công lao về mik , còn đòi đánh giá cho điểm thành viên khác như này như nọ , bảo nhóm trưởng phải đc điểm cao hơn . Không bt nhóm trưởng của mn như nào ,có ok k chứ nhóm trưởng nhóm em nó đã hãm rồi còn do duyên với cái hay bị tự ái .
Không bt MN có gặp tình trạng như này k ạ , hay là do em ăn ở k đc tốt nên bị zậy ạ mn ",No picture,"{'Thích': '4', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': '2', 'Phẫn nộ': 0}","[{'name': 'Quốc Đạt', 'content': 'Thoi qua đây vs e, nhóm trưởng đây mà làm taowork nè'}, {'name': 'Quyên Bảo', 'content': 'Quốc Đạt cho e xin slot vs ạ'}, {'name': 'Minh Châu', 'content': 'Quốc Đạt bậy bạ dữ mày'}, {'name': 'Hồng Linhh', 'content': 'Trộm vía vô nhóm nào nhóm trưởng cũng oke hết'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả Hồng Linhh xin vía xin vía ạ . Chứ em thấy nhóm trưởng nhóm em nó hãm quá ạ .'}, {'name': 'Hồng Linhh', 'content': 'Người tham gia ẩn danh trộm đi em chứ nhả ra nó mất nữa'}, {'name': 'Người tham gia ẩn danh 156', 'content': 'T thì ngược lại, làm nhóm trưởng vưa ôm hết việc nhắc làm bài toàn seen'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả Mong muốn xin vía các ac nào có nhóm trưởng tốt ạ , chứ em thấy nhóm trưởng nhóm em nó hãm quá , k có ích lợi gì mà còn cái hay bị tự ái nên rất là mệt luôn ạ.'}, {'name': 'Ngo Phan Nhu Quynh', 'content': 'Ngọc Uyên =))'}, {'name': 'Ngọc Uyên', 'content': 'Ngo Phan Nhu Quynh trộm vía kì sau di'}]"
180,No link,Người tham gia ẩn danh,Thành viên,4 tháng 11 lúc 22:30,"Đông rồi bạn nào chưa tìm được trọ hay ở xa SƯ PHẠM ib mình 
Cần tìm bạn ở ghép nhà nguyên căn 2 phòng; wc riêng
 full nội thất điều hoà; nóng lạnh; bếp điện; tủ lạnh;…giá điện nước fiwi theo nhà nước
1tr/tháng
đc: 109 phạm như xương
( chỉ cho nữ thuê )",No picture,"{'Thích': '8', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Đinh T. Ngọc Luyến', 'content': '…'}, {'name': 'Phạm Chi', 'content': 'Ib ạ'}, {'name': 'Hang Hoang', 'content': 'Ib ạ'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả ...'}, {'name': 'Đinh T. Ngọc Luyến', 'content': 'Tớ'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả ….'}, {'name': 'Mai Phương', 'content': 'Tớ tìm bạn ở ghép cùng, nội thật full chỉ cần dọn vô ở tui ib tớ nheee'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả ..'}, {'name': 'Ngô Thọ', 'content': 'Ib'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả'}]"
181,No link,Người tham gia ẩn danh,Thành viên,4 tháng 11 lúc 17:31,Có bạn nào đó để quên dù ở toà b3… phòng nào thì bạn vô trả lời bình luận rồi tui liên hệ cho bạn nha,"{0: 'https://scontent.fdad3-1.fna.fbcdn.net/v/t39.30808-6/465839627_498279106540125_7630920454160205952_n.jpg?stp=cp6_dst-jpg_p526x296&_nc_cat=108&ccb=1-7&_nc_sid=aa7b47&_nc_eui2=AeEyl76kvvf0Zg21hhza4OFvtQCE4O6yRZK1AITg7rJFkngZsyZ-eNlscp0tvXaSXl8qdkZ7n7L6w25Sn9nsjrp0&_nc_ohc=-CryfHrc8b0Q7kNvgH12_fV&_nc_zt=23&_nc_ht=scontent.fdad3-1.fna&_nc_gid=AVWG0MHfxqo66jyzVZnTOdu&oh=00_AYBeqvvR6mCNF12Ctoa7dx-nUy3kxTm1rI2T2GJ-WwSi7A&oe=673FBCA1', 1: 'https://static.xx.fbcdn.net/images/emoji.php/v9/t6f/1/16/1f337.png'}","{'Thích': '2', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment
182,No link,Người tham gia ẩn danh,Thành viên,4 tháng 11 lúc 16:24,"Bạn Việt Dũng lớp 23SLD2 có ny chưa, cho mình làm quen với ạ",No picture,"{'Thích': '1', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment
183,No link,Người tham gia ẩn danh,Thành viên,4 tháng 11 lúc 16:03,"Lúc 15h50 hôm nay . Vô tình nhìn thấy 1 bạn nữ cao khoang 1m50 mang quần dài màu trắng , áo thun màu kem, đi ở giữa cùng 2 bạn nữ khác trước cổng trường, bạn ơi nụ cười của bạn làm mình mộng mơ mất rồi. Hy vọng rằng bạn sẽ comment hoặc thả tim vào đây để mình có thể vào trang cá nhân nhìn bạn mỗi ngày nhé
.",No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment
184,No link,Người tham gia ẩn danh,Thành viên,4 tháng 11 lúc 15:52,Mn ơi làm sao để đuổi chuột ra khỏi phòng ạ.,No picture,"{'Thích': '1', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': '1', 'Phẫn nộ': 0}","[{'name': 'Anh Dương', 'content': 'Bắt nó share tiền trọ'}, {'name': 'Hà Phươngg', 'content': 'Ngọc Hằng egai hỏi đúng không'}, {'name': 'Nguyễn Hoàng Giáp', 'content': 'Bạn ngồi nói chuyện thương lượng với nó thử xem'}, {'name': 'Trung Nguyễn', 'content': 'Bạn giả làm con mèo để hù nó thử xem'}]"
185,No link,Người tham gia ẩn danh,Thành viên,4 tháng 11 lúc 15:51,Muốn làm quen với máy chị trong trường mà khó quá dạy,No picture,"{'Thích': '4', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '4', 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Nguyễn Lữ Kiệt', 'content': 'Tuyết Nhi Đoan Phương Yến Nhi bộ mấy chị mắc khó tính lắm hỏ'}, {'name': 'Đoan Phương', 'content': 'Nguyễn Lữ Kiệt j chứ ta tự nhận mk chảnh chó'}, {'name': 'Nguyễn Lữ Kiệt', 'content': 'Nguyễn Lữ Kiệt Đoan Phương chó chảnh còn thua mi'}, {'name': 'Đoan Phương', 'content': 'Nguyễn Lữ Kiệt nghe nó nhức nhức cái đầu'}, {'name': 'Nguyễn Lữ Kiệt', 'content': 'Đoan Phương đau đầu quá đi quánh giá đi cho đỡ đau'}, {'name': 'Tuyết Nhi', 'content': 'Nguyễn Lữ Kiệt kao hiền'}, {'name': 'Nguyễn Lữ Kiệt', 'content': 'Tuyết Nhi thôi chị khỏi chị đừng gáy dơ'}]"
186,No link,Người tham gia ẩn danh,Thành viên,4 tháng 11 lúc 15:39,cho em xin chỗ bán bánh tráng trộn ngon ở trường mình ạ,No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment
187,No link,Người tham gia ẩn danh,Thành viên,4 tháng 11 lúc 15:39,"Em có mập mờ với một bạn cũng hơn 3 tháng rồi. Cả hai cứ 1-2 ngày là sẽ gặp nhau đi ăn, đi chơi, nắm tay, nắm chân, ôm sau xe các kiểu luôn rồi. Thế nhưng đến bây giờ em vẫn chưa nhận được một lời tỏ tình nào từ phía đối phương. Nhưng mà khi đi chơi với em có bạn bè nhắn đến rủ bạn ấy đi chơi thì bạn ấy lại trả lời là đang đi chơi với bồ rồi. Cũng nhắn tin ngày đêm, đưa rước em đi học đi làm, mua quà tặng em các kiểu nhưng vẫn chưa tỏ tỉnh, lúc đầu em nghĩ bạn tưởng là cả hai đã trong 1 mqh với nhau rồi nên có nhờ bạn của cả em và bạn đó hỏi thì bạn ấy bảo chưa có quen. Rốt cuộc là bạn đó muốn gì, em cũng không biết phải làm sao. Nếu không có được 1 danh phận rõ ràng thì em có nên thoát ra khỏi mqh này không mn?",No picture,"{'Thích': '11', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '12', 'Wow': 0, 'Buồn': '2', 'Phẫn nộ': 0}","[{'name': 'bnhi丨ꪮৎ', 'content': 'out khỏi mqh đi =))'}, {'name': 'Thư Thư', 'content': 'Out gấp cho rồi'}, {'name': 'Hồng Hạnh', 'content': 'Biết rồi còn hỏi'}, {'name': 'Thuc Anh', 'content': 'chạy vội'}, {'name': 'Người tham gia ẩn danh 921', 'content': 'Tiện đi chơi thêm vài con đó mà'}, {'name': 'Thảo Nhi', 'content': 'Câu trả lời ngay trong câu hỏi :))))'}, {'name': 'Mỹ Kha', 'content': 'triển đi'}, {'name': 'Chii Chii', 'content': 'Thoát đi còn kịp GIPHY'}, {'name': 'Nguyễn Ngọc Thu Nguyên', 'content': 'Thinh Nguyen giải quyết'}]"
188,No link,Người tham gia ẩn danh,Thành viên,4 tháng 11 lúc 10:56,Tin học đại cương nên học aii đâyy các anh chị ơiiii,No picture,"{'Thích': '3', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Nguyễn Thu Huyền', 'content': 'Thầy Hưng Minh Ngọc'}, {'name': 'Minh Ngọc', 'content': 'Nguyễn Thu Huyền 10₫ 10₫ 10₫₫₫₫₫₫₫_'}, {'name': 'Người tham gia ẩn danh 468', 'content': 'Học cô Trà'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả Người tham gia ẩn danh 468 dạ e cám ơn ạa'}, {'name': 'Phạm Thị Yến Vy', 'content': 'Cô Tràaa nhaa'}]"
